"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"202","0.6",2,4.38,1.95
"203","0.75",2,4.652,2.63
"204","0.84",2,4.974,3.435
"205","0.9",2,5.22,4.05
"206","0.94",2,5.518,4.795
"207","0.96",2,5.662,5.155
"208","0.97",2,5.766,5.415
"209","0.98",2,5.841,5.6025
"210","0.99",2,5.878,5.695
"211","0.37",2,4.189,1.4725
"212","0.6",2,4.389,1.9725
"213","0.75",2,4.675,2.6875
"214","0.84",2,4.957,3.3925
"215","0.9",2,5.304,4.26
"216","0.94",2,5.483,4.7075
"217","0.96",2,5.632,5.08
"218","0.97",2,5.775,5.4375
"219","0.98",2,5.857,5.6425
"220","0.99",2,5.891,5.7275
"221","0.37",2,4.17,1.425
"222","0.6",2,4.418,2.045
"223","0.75",2,4.644,2.61
"224","0.84",2,4.945,3.3625
"225","0.9",2,5.208,4.02
"226","0.94",2,5.51,4.775
"227","0.96",2,5.699,5.2475
"228","0.97",2,5.787,5.4675
"229","0.98",2,5.843,5.6075
"230","0.99",2,5.899,5.7475
"231","0.37",2,4.187,1.4675
"232","0.6",2,4.418,2.045
"233","0.75",2,4.724,2.81
"234","0.84",2,4.949,3.3725
"235","0.9",2,5.206,4.015
"236","0.94",2,5.447,4.6175
"237","0.96",2,5.629,5.0725
"238","0.97",2,5.793,5.4825
"239","0.98",2,5.871,5.6775
"240","0.99",2,5.884,5.71
"241","0.37",2,4.174,1.435
"242","0.6",2,4.36,1.9
"243","0.75",2,4.72,2.8
"244","0.84",2,4.983,3.4575
"245","0.9",2,5.241,4.1025
"246","0.94",2,5.5,4.75
"247","0.96",2,5.674,5.185
"248","0.97",2,5.748,5.37
"249","0.98",2,5.858,5.645
"250","0.99",2,5.891,5.7275
"251","0.37",2,4.176,1.44
"252","0.6",2,4.407,2.0175
"253","0.75",2,4.705,2.7625
"254","0.84",2,4.969,3.4225
"255","0.9",2,5.243,4.1075
"256","0.94",2,5.481,4.7025
"257","0.96",2,5.646,5.115
"258","0.97",2,5.75,5.375
"259","0.98",2,5.866,5.665
"260","0.99",2,5.892,5.73
"261","0.37",1,4.15,1.375
"262","0.6",2,4.411,2.0275
"263","0.75",2,4.664,2.66
"264","0.84",2,4.995,3.4875
"265","0.9",2,5.254,4.135
"266","0.94",2,5.461,4.6525
"267","0.96",2,5.665,5.1625
"268","0.97",2,5.753,5.3825
"269","0.98",2,5.837,5.5925
"270","0.99",2,5.893,5.7325
"271","0.37",2,4.183,1.4575
"272","0.6",2,4.386,1.965
"273","0.75",2,4.67,2.675
"274","0.84",2,5.011,3.5275
"275","0.9",2,5.259,4.1475
"276","0.94",2,5.52,4.8
"277","0.96",2,5.629,5.0725
"278","0.97",2,5.809,5.5225
"279","0.98",2,5.837,5.5925
"280","0.99",2,5.918,5.795
"281","0.37",2,4.177,1.4425
"282","0.6",2,4.402,2.005
"283","0.75",2,4.659,2.6475
"284","0.84",2,4.961,3.4025
"285","0.9",2,5.278,4.195
