"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"695","0.9",2,4.095,4.0825
"696","0.94",2,4.741,4.7775
"697","0.96",2,5.128,5.2525
"698","0.97",2,5.439,5.44
"699","0.98",2,5.668,5.695
"700","0.99",2,5.751,5.79
"701","0.37",3,1.458,1.46
"702","0.6",3,1.947,1.8925
"703","0.75",3,2.718,2.7575
"704","0.84",3,3.402,3.4075
"705","0.9",3,4.123,4.2125
"706","0.94",2,4.8,4.935
"707","0.96",2,5.104,5.0825
"708","0.97",2,5.378,5.3725
"709","0.98",2,5.681,5.6875
"710","0.99",2,5.795,5.805
"711","0.37",2,1.424,1.4
"712","0.6",2,2.013,2.045
"713","0.75",2,2.637,2.605
"714","0.84",2,3.39,3.45
"715","0.9",2,4.073,4.1825
"716","0.94",2,4.627,4.62
"717","0.96",2,5.087,5.105
"718","0.97",2,5.42,5.42
"719","0.98",2,5.646,5.6925
"720","0.99",2,5.737,5.74
"721","0.37",3,1.428,1.4
"722","0.6",3,1.905,1.9225
"723","0.75",3,2.699,2.63
"724","0.84",2,3.451,3.39
"725","0.9",2,4.127,4.1325
"726","0.94",2,4.713,4.765
"727","0.96",2,5.163,5.265
"728","0.97",2,5.423,5.375
"729","0.98",2,5.643,5.6175
"730","0.99",2,5.767,5.795
"731","0.37",3,1.447,1.45
"732","0.6",3,1.98,2.0175
"733","0.75",3,2.667,2.5825
"734","0.84",3,3.41,3.3925
"735","0.9",3,4.059,4.06
"736","0.94",2,4.701,4.6875
"737","0.96",2,5.097,5.055
"738","0.97",2,5.325,5.18
"739","0.98",2,5.589,5.56
"740","0.99",2,5.76,5.6825
"741","0.37",3,1.48,1.4975
"742","0.6",3,2.012,2.005
"743","0.75",3,2.663,2.6925
"744","0.84",3,3.376,3.4
"745","0.9",2,4.156,4.065
"746","0.94",2,4.657,4.7025
"747","0.96",2,5.091,5.0575
"748","0.97",2,5.392,5.3125
"749","0.98",2,5.669,5.67
"750","0.99",2,5.79,5.815
"751","0.37",3,1.466,1.4225
"752","0.6",3,1.959,1.94
"753","0.75",2,2.672,2.68
"754","0.84",3,3.576,3.66
"755","0.9",2,4.056,3.93
"756","0.94",2,4.627,4.58
"757","0.96",2,5.214,5.305
"758","0.97",2,5.402,5.45
"759","0.98",2,5.584,5.5825
"760","0.99",2,5.772,5.78
"761","0.37",2,1.452,1.4875
"762","0.6",2,1.991,1.935
"763","0.75",2,2.668,2.72
"764","0.84",2,3.28,3.255
"765","0.9",2,4.179,4.26
"766","0.94",2,4.708,4.9075
"767","0.96",2,5.18,5.2175
"768","0.97",2,5.472,5.4725
"769","0.98",2,5.654,5.7525
"770","0.99",2,5.805,5.815
"771","0.37",2,1.476,1.475
"772","0.6",2,2,1.9675
"773","0.75",2,2.701,2.5525
"774","0.84",2,3.466,3.4975
"775","0.9",2,4.189,4.1975
"776","0.94",2,4.619,4.775
"777","0.96",2,5.251,5.29
"778","0.97",2,5.462,5.39
"779","0.98",2,5.553,5.535
"780","0.99",2,5.81,5.78
"781","0.37",3,1.434,1.46
"782","0.6",3,1.986,1.9975
"783","0.75",3,2.674,2.695
"784","0.84",3,3.363,3.4625
"785","0.9",2,4.108,4.0875
"786","0.94",2,4.65,4.61
"787","0.96",2,5.119,5.115
"788","0.97",2,5.487,5.4575
"789","0.98",2,5.612,5.6275
"790","0.99",2,5.804,5.8
"791","0.37",3,1.486,1.4875
"792","0.6",3,1.992,2.0025
"793","0.75",3,2.745,2.69
"794","0.84",2,3.301,3.33
"795","0.9",2,4.05,4.04
"796","0.94",2,4.722,4.735
"797","0.96",2,5.023,5.0075
"798","0.97",2,5.463,5.495
"799","0.98",2,5.635,5.6375
"800","0.99",2,5.781,5.75
"801","0.37",3,1.452,1.465
"802","0.6",2,2.054,2.0675
"803","0.75",2,2.665,2.7075
"804","0.84",2,3.489,3.525
"805","0.9",2,4.166,4.21
"806","0.94",2,4.777,4.8475
"807","0.96",2,5.054,5.0075
"808","0.97",2,5.465,5.475
"809","0.98",2,5.609,5.5625
"810","0.99",2,5.782,5.82
"811","0.37",3,1.458,1.4525
"812","0.6",3,1.981,2.045
"813","0.75",3,2.69,2.6525
"814","0.84",2,3.409,3.2925
"815","0.9",2,4.094,4.05
"816","0.94",2,4.625,4.85
"817","0.96",2,5.165,5.1525
"818","0.97",2,5.4,5.48
"819","0.98",2,5.604,5.5975
"820","0.99",2,5.73,5.715
"821","0.37",3,1.447,1.4575
"822","0.6",3,1.957,1.96
"823","0.75",3,2.699,2.55
"824","0.84",3,3.413,3.3575
"825","0.9",3,4.115,4.175
"826","0.94",3,4.612,4.58
"827","0.96",2,5.19,5.09
"828","0.97",2,5.377,5.3825
"829","0.98",2,5.622,5.675
"830","0.99",2,5.709,5.74
"831","0.37",2,1.45,1.4475
"832","0.6",2,2.007,1.9725
"833","0.75",2,2.714,2.7375
"834","0.84",2,3.412,3.3325
"835","0.9",2,4.109,4.1275
"836","0.94",2,4.711,4.79
"837","0.96",2,5.087,5.0925
"838","0.97",2,5.33,5.2825
"839","0.98",2,5.634,5.6075
"840","0.99",2,5.752,5.67
"841","0.37",2,1.443,1.4475
"842","0.6",2,1.967,2.02
"843","0.75",2,2.692,2.6875
"844","0.84",2,3.403,3.4125
"845","0.9",2,4.199,4.0725
"846","0.94",2,4.688,4.6275
"847","0.96",2,5.076,5.0675
"848","0.97",2,5.357,5.2225
"849","0.98",2,5.653,5.6725
"850","0.99",2,5.805,5.8175
"851","0.37",3,1.432,1.4525
"852","0.6",3,1.985,2
"853","0.75",3,2.665,2.7
"854","0.84",3,3.529,3.59
"855","0.9",3,4.091,4.13
"856","0.94",2,4.709,4.725
"857","0.96",2,5.173,5.1325
"858","0.97",2,5.503,5.48
"859","0.98",2,5.595,5.5125
"860","0.99",2,5.76,5.75
"861","0.37",3,1.444,1.4825
"862","0.6",3,2.005,2.05
"863","0.75",3,2.625,2.665
"864","0.84",3,3.473,3.475
"865","0.9",3,4.05,4.095
"866","0.94",2,4.73,4.6775
"867","0.96",2,5.183,5.1
"868","0.97",2,5.441,5.4575
"869","0.98",2,5.634,5.6075
"870","0.99",2,5.79,5.755
"871","0.37",2,1.496,1.485
"872","0.6",2,1.979,1.995
"873","0.75",2,2.726,2.7225
"874","0.84",2,3.406,3.325
"875","0.9",2,4.118,4.145
"876","0.94",2,4.656,4.6575
"877","0.96",2,5.074,5.07
"878","0.97",2,5.388,5.4575
"879","0.98",2,5.637,5.6575
"880","0.99",2,5.762,5.7775
