"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"775","0.9",1,5.621,4.105
"776","0.94",1,5.745,4.725
"777","0.96",1,5.829,5.145
"778","0.97",1,5.86,5.3
"779","0.98",1,5.948,5.74
"780","0.99",1,5.948,5.74
"781","0.37",1,5.086,1.43
"782","0.6",1,5.213,2.065
"783","0.75",1,5.339,2.695
"784","0.84",1,5.514,3.57
"785","0.9",1,5.621,4.105
"786","0.94",1,5.751,4.755
"787","0.96",1,5.837,5.185
"788","0.97",1,5.871,5.355
"789","0.98",1,5.924,5.62
"790","0.99",1,5.93,5.65
"791","0.37",0,5.089,1.445
"792","0.6",1,5.187,1.935
"793","0.75",1,5.322,2.61
"794","0.84",1,5.472,3.36
"795","0.9",1,5.608,4.04
"796","0.94",1,5.742,4.71
"797","0.96",1,5.858,5.29
"798","0.97",1,5.876,5.38
"799","0.98",1,5.909,5.545
"800","0.99",1,5.933,5.665
"801","0.37",1,5.076,1.38
"802","0.6",1,5.216,2.08
"803","0.75",1,5.32,2.6
"804","0.84",1,5.48,3.4
"805","0.9",1,5.635,4.175
"806","0.94",1,5.73,4.65
"807","0.96",1,5.791,4.955
"808","0.97",1,5.882,5.41
"809","0.98",1,5.933,5.665
"810","0.99",1,5.958,5.79
"811","0.37",1,5.071,1.355
"812","0.6",1,5.197,1.985
"813","0.75",1,5.362,2.81
"814","0.84",1,5.48,3.4
"815","0.9",1,5.645,4.225
"816","0.94",1,5.675,4.375
"817","0.96",1,5.796,4.98
"818","0.97",1,5.903,5.515
"819","0.98",1,5.911,5.555
"820","0.99",1,5.969,5.845
"821","0.37",1,5.112,1.56
"822","0.6",1,5.204,2.02
"823","0.75",1,5.356,2.78
"824","0.84",1,5.5,3.5
"825","0.9",1,5.602,4.01
"826","0.94",1,5.723,4.615
"827","0.96",1,5.817,5.085
"828","0.97",1,5.906,5.53
"829","0.98",1,5.936,5.68
"830","0.99",1,5.968,5.84
"831","0.37",1,5.094,1.47
"832","0.6",1,5.196,1.98
"833","0.75",1,5.326,2.63
"834","0.84",1,5.499,3.495
"835","0.9",1,5.547,3.735
"836","0.94",1,5.714,4.57
"837","0.96",1,5.849,5.245
"838","0.97",1,5.878,5.39
"839","0.98",1,5.918,5.59
"840","0.99",1,5.944,5.72
"841","0.37",1,5.088,1.44
"842","0.6",1,5.195,1.975
"843","0.75",1,5.328,2.64
"844","0.84",1,5.481,3.405
"845","0.9",1,5.646,4.23
"846","0.94",1,5.782,4.91
"847","0.96",1,5.86,5.3
"848","0.97",1,5.891,5.455
"849","0.98",1,5.898,5.49
"850","0.99",1,5.958,5.79
"851","0.37",1,5.089,1.445
"852","0.6",1,5.226,2.13
"853","0.75",1,5.313,2.565
"854","0.84",1,5.511,3.555
"855","0.9",1,5.623,4.115
"856","0.94",1,5.732,4.66
"857","0.96",1,5.831,5.155
"858","0.97",1,5.872,5.36
"859","0.98",1,5.934,5.67
"860","0.99",1,5.982,5.91
"861","0.37",1,5.077,1.385
"862","0.6",1,5.202,2.01
"863","0.75",1,5.332,2.66
"864","0.84",1,5.493,3.465
"865","0.9",1,5.606,4.03
"866","0.94",1,5.736,4.68
"867","0.96",1,5.824,5.12
"868","0.97",1,5.876,5.38
"869","0.98",1,5.92,5.6
"870","0.99",1,5.958,5.79
"871","0.37",1,5.104,1.52
"872","0.6",1,5.194,1.97
"873","0.75",1,5.35,2.75
"874","0.84",1,5.469,3.345
"875","0.9",1,5.638,4.19
"876","0.94",1,5.715,4.575
"877","0.96",1,5.823,5.115
"878","0.97",1,5.9,5.5
"879","0.98",1,5.887,5.435
"880","0.99",1,5.957,5.785
"881","0.37",1,5.077,1.385
"882","0.6",1,5.2,2
"883","0.75",1,5.306,2.53
"884","0.84",1,5.459,3.295
"885","0.9",1,5.654,4.27
"886","0.94",1,5.737,4.685
"887","0.96",1,5.827,5.135
"888","0.97",1,5.878,5.39
"889","0.98",1,5.947,5.735
"890","0.99",1,5.949,5.745
"891","0.37",1,5.088,1.44
"892","0.6",1,5.234,2.17
"893","0.75",1,5.321,2.605
"894","0.84",1,5.463,3.315
"895","0.9",1,5.615,4.075
"896","0.94",1,5.721,4.605
"897","0.96",1,5.82,5.1
"898","0.97",1,5.904,5.52
"899","0.98",1,5.957,5.785
"900","0.99",1,5.944,5.72
"901","0.37",1,5.095,1.475
"902","0.6",1,5.18,1.9
"903","0.75",1,5.31,2.55
"904","0.84",1,5.485,3.425
"905","0.9",1,5.619,4.095
"906","0.94",1,5.66,4.3
"907","0.96",1,5.825,5.125
"908","0.97",1,5.887,5.435
"909","0.98",1,5.913,5.565
"910","0.99",1,5.953,5.765
"911","0.37",1,5.111,1.555
"912","0.6",1,5.195,1.975
"913","0.75",1,5.353,2.765
"914","0.84",1,5.472,3.36
"915","0.9",1,5.636,4.18
"916","0.94",1,5.745,4.725
"917","0.96",1,5.795,4.975
"918","0.97",1,5.934,5.67
"919","0.98",1,5.939,5.695
"920","0.99",1,5.959,5.795
"921","0.37",1,5.083,1.415
"922","0.6",1,5.211,2.055
"923","0.75",1,5.337,2.685
"924","0.84",1,5.492,3.46
"925","0.9",1,5.612,4.06
"926","0.94",1,5.745,4.725
"927","0.96",1,5.852,5.26
