"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"72","0.6",1,1.995,2.01
"73","0.75",1,2.579,2.645
"74","0.84",1,3.462,3.515
"75","0.9",1,4.124,4.135
"76","0.94",1,4.679,4.825
"77","0.96",1,5.129,5.275
"78","0.97",1,5.473,5.5
"79","0.98",1,5.588,5.615
"80","0.99",1,5.762,5.67
"81","0.37",1,1.45,1.46
"82","0.6",1,2.039,2.105
"83","0.75",1,2.643,2.585
"84","0.84",1,3.329,3.33
"85","0.9",1,4.06,3.935
"86","0.94",1,4.767,4.695
"87","0.96",1,5.129,5.08
"88","0.97",1,5.416,5.415
"89","0.98",1,5.645,5.665
"90","0.99",1,5.742,5.78
"91","0.37",1,1.437,1.435
"92","0.6",1,1.983,1.98
"93","0.75",1,2.716,2.8
"94","0.84",1,3.399,3.405
"95","0.9",1,4.069,4.18
"96","0.94",1,4.704,4.545
"97","0.96",1,5.153,5.04
"98","0.97",1,5.465,5.595
"99","0.98",1,5.627,5.555
"100","0.99",1,5.739,5.725
"101","0.37",2,1.459,1.415
"102","0.6",2,1.991,1.975
"103","0.75",1,2.706,2.64
"104","0.84",1,3.391,3.485
"105","0.9",1,4.145,4.285
"106","0.94",1,4.729,4.635
"107","0.96",1,5.129,5.145
"108","0.97",1,5.442,5.515
"109","0.98",1,5.591,5.665
"110","0.99",1,5.758,5.705
"111","0.37",1,1.44,1.4
"112","0.6",2,1.991,2.04
"113","0.75",1,2.683,2.64
"114","0.84",1,3.487,3.415
"115","0.9",1,4.101,4.075
"116","0.94",1,4.69,4.735
"117","0.96",1,5.122,5.12
"118","0.97",1,5.383,5.365
"119","0.98",1,5.577,5.555
"120","0.99",1,5.735,5.61
"121","0.37",1,1.478,1.505
"122","0.6",1,2.057,2.035
"123","0.75",1,2.537,2.37
"124","0.84",1,3.457,3.53
"125","0.9",1,4.071,4.185
"126","0.94",1,4.682,4.55
"127","0.96",1,5.046,4.915
"128","0.97",1,5.409,5.325
"129","0.98",1,5.629,5.72
"130","0.99",1,5.746,5.82
"131","0.37",1,1.474,1.415
"132","0.6",1,2.014,2.005
"133","0.75",1,2.581,2.625
"134","0.84",1,3.42,3.475
"135","0.9",1,4.104,4.105
"136","0.94",1,4.703,4.665
"137","0.96",1,5.03,4.99
"138","0.97",1,5.383,5.44
"139","0.98",1,5.624,5.59
"140","0.99",1,5.736,5.785
"141","0.37",0,1.416,1.425
"142","0.6",0,2.01,2.02
"143","0.75",1,2.653,2.655
"144","0.84",1,3.518,3.455
"145","0.9",1,4.171,4.175
"146","0.94",1,4.708,4.75
"147","0.96",1,5.131,5.13
"148","0.97",1,5.426,5.395
"149","0.98",1,5.631,5.69
"150","0.99",1,5.675,5.765
"151","0.37",1,1.456,1.43
"152","0.6",1,1.987,1.965
"153","0.75",1,2.648,2.545
"154","0.84",1,3.474,3.55
"155","0.9",1,4.198,4.25
"156","0.94",1,4.73,4.875
"157","0.96",1,5.054,5.035
"158","0.97",1,5.424,5.52
"159","0.98",1,5.589,5.665
"160","0.99",1,5.741,5.805
"161","0.37",1,1.479,1.455
"162","0.6",1,2.064,2.17
"163","0.75",1,2.737,2.745
"164","0.84",1,3.466,3.425
"165","0.9",1,4.162,4
"166","0.94",1,4.627,4.695
"167","0.96",1,5.144,5.31
"168","0.97",1,5.399,5.37
"169","0.98",1,5.663,5.575
"170","0.99",1,5.775,5.78
"171","0.37",1,1.434,1.43
"172","0.6",1,1.991,2.105
"173","0.75",1,2.665,2.705
"174","0.84",1,3.458,3.545
"175","0.9",1,4.136,4.095
"176","0.94",1,4.625,4.685
"177","0.96",1,5.115,5.195
"178","0.97",1,5.457,5.44
"179","0.98",1,5.65,5.675
"180","0.99",1,5.763,5.745
"181","0.37",1,1.431,1.495
"182","0.6",1,1.976,1.96
"183","0.75",1,2.653,2.76
"184","0.84",1,3.453,3.645
"185","0.9",1,4.057,4.155
"186","0.94",1,4.725,4.535
"187","0.96",1,5.136,5.2
"188","0.97",1,5.374,5.45
"189","0.98",1,5.601,5.575
"190","0.99",1,5.759,5.775
"191","0.37",1,1.446,1.445
"192","0.6",1,1.963,2.095
"193","0.75",1,2.614,2.755
"194","0.84",1,3.363,3.415
"195","0.9",1,4.116,4.055
"196","0.94",1,4.679,4.59
"197","0.96",1,5.18,5.13
